idind,year,type,wage,nls,logwage,lognls
1904,1998,1,893,2000,6.794586580876499,7.600902459542082
1907,1998,1,250,2500,5.521460917862246,7.824046010856292
1912,1998,1,1900,5000,7.549609165154532,8.517193191416238
1913,1998,1,3700,5000,8.216088098632316,8.517193191416238
1919,1998,1,600,3500,6.396929655216146,8.160518247477505
1917,1998,1,450,1500,6.1092475827643655,7.313220387090301
11728,1998,1,500,3000,6.214608098422191,8.006367567650246
1927,1998,1,730,5000,6.593044534142437,8.517193191416238
1928,1998,1,800,6000,6.684611727667927,8.699514748210191
1937,1998,1,530,4000,6.272877006546167,8.294049640102028
1945,1998,1,400,3000,5.991464547107982,8.006367567650246
1946,1998,1,300,3000,5.703782474656201,8.006367567650246
11733,1998,1,811,5000,6.698268054115413,8.517193191416238
14572,1998,1,800,1000,6.684611727667927,6.907755278982137
1958,1998,1,420,10000,6.040254711277414,9.210340371976184
1959,1998,1,800,5000,6.684611727667927,8.517193191416238
1960,1998,1,920,6000,6.824373670043086,8.699514748210191
11737,1998,1,820,4000,6.709304340258298,8.294049640102028
1977,1998,1,1150,5000,7.047517221357296,8.517193191416238
1983,1998,1,986,3000,6.893656354602635,8.006367567650246
14576,1998,1,1450,3000,7.27931883541462,8.006367567650246
1978,1998,1,300,2000,5.703782474656201,7.600902459542082
1979,1998,1,500,3000,6.214608098422191,8.006367567650246
11742,1998,1,300,2000,5.703782474656201,7.600902459542082
1999,1998,1,1100,4000,7.003065458786462,8.294049640102028
2000,1998,1,80,5000,4.382026634673881,8.517193191416238
14578,1998,1,400,7000,5.991464547107982,8.85366542803745
2002,1998,1,600,3000,6.396929655216146,8.006367567650246
2003,1998,1,1000,3000,6.907755278982137,8.006367567650246
2006,1998,1,600,6000,6.396929655216146,8.699514748210191
14579,1998,1,300,15000,5.703782474656201,9.615805480084347
2008,1998,1,500,2000,6.214608098422191,7.600902459542082
2014,1998,1,1500,10000,7.313220387090301,9.210340371976184
2015,1998,1,1500,10000,7.313220387090301,9.210340371976184
2016,1998,1,1000,5000,6.907755278982137,8.517193191416238
2017,1998,1,500,6000,6.214608098422191,8.699514748210191
2018,1998,1,400,6000,5.991464547107982,8.699514748210191
14581,1998,1,700,3000,6.551080335043404,8.006367567650246
2031,1998,1,660,5000,6.492239835020471,8.517193191416238
2032,1998,1,120,4000,4.787491742782046,8.294049640102028
2042,1998,1,500,10000,6.214608098422191,9.210340371976184
2043,1998,1,450,10000,6.1092475827643655,9.210340371976184
2047,1998,1,275,10000,5.616771097666572,9.210340371976184
11751,1998,1,670,2000,6.507277712385012,7.600902459542082
2053,1998,1,460,4000,6.131226489483141,8.294049640102028
2059,1998,1,800,10000,6.684611727667927,9.210340371976184
2060,1998,1,430,10000,6.063785208687608,9.210340371976184
2066,1998,1,300,4000,5.703782474656201,8.294049640102028
2069,1998,1,438,2000,6.082218910376446,7.600902459542082
2072,1998,1,600,3000,6.396929655216146,8.006367567650246
2081,1998,1,1500,5000,7.313220387090301,8.517193191416238
2082,1998,1,500,4000,6.214608098422191,8.294049640102028
2106,1998,1,1200,3000,7.090076835776092,8.006367567650246
2122,1998,1,260,5000,5.560681631015528,8.517193191416238
11753,1998,1,200,1500,5.298317366548036,7.313220387090301
2137,1998,1,1700,5000,7.438383530044307,8.517193191416238
2138,1998,1,2000,20000,7.600902459542082,9.903487552536127
14591,1998,1,2200,3500,7.696212639346407,8.160518247477505
14594,1998,1,1400,3500,7.24422751560335,8.160518247477505
14595,1998,1,1200,25500,7.090076835776092,10.146433731146518
14596,1998,1,500,3000,6.214608098422191,8.006367567650246
11754,1998,1,1100,4000,7.003065458786462,8.294049640102028
2141,1998,1,1000,5000,6.907755278982137,8.517193191416238
